2026-04-17 15:41:50 - === Session Started - Malpractice Detection Log ===
2026-04-17 15:42:06 - [2026-04-17 15:42:06] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:07 - [2026-04-17 15:42:07] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:07 - [2026-04-17 15:42:07] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:08 - [2026-04-17 15:42:08] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:08 - [2026-04-17 15:42:08] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:08 - [2026-04-17 15:42:08] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:09 - [2026-04-17 15:42:09] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:09 - [2026-04-17 15:42:09] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:09 - [2026-04-17 15:42:09] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:10 - [2026-04-17 15:42:10] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:10 - [2026-04-17 15:42:10] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:10 - [2026-04-17 15:42:10] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:11 - [2026-04-17 15:42:11] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:11 - [2026-04-17 15:42:11] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:11 - [2026-04-17 15:42:11] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:12 - [2026-04-17 15:42:12] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:12 - [2026-04-17 15:42:12] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:12 - [2026-04-17 15:42:12] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:13 - [2026-04-17 15:42:13] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:13 - [2026-04-17 15:42:13] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
